paper,authors,title,position,"contribution ID"
MOPA086,"V. Cilento, C. Carli","Periodicity five lattice proposal for a cpedm prototype ring",,1174
MOPA100,"E. Farina, M. Atanasov, J. Borburgh, C. Bracco, Y. Dutheil, A. Lechner, J. Maestre, P. Andreu Muñoz, F.-X. Nuiry, P. Schwarz, C. Sharp, P.-A. Thonet, R. Franqueira Ximenes","Protection of extraction septa during asynchronous beam dumps in HL-LHC operation",,786
MOPA127,"A. Abramov, R. Bruce, M. Giovannozzi, G. Perez-Segurana, S. Redaelli, T. Risselada","Collimation system for the updated FCC-hh design baseline",,1339
MOPA128,"A. Abramov, G. Broggi, K. André, M. Hofer, R. Bruce, S. Redaelli","Studies of layout and cleaning performance for the FCC-ee collimation system",,1337
MOPA088,"F. Stummer, A. Baratto Roldan, B. Rae, C.A. Mussolini, D. Banerjee, E. Parozzi, F. Metzger, G. Lanfranchi, G.L. D'Alessandro, J. Bernhard, L. Nevay, L. Gatignon, L. Dyks, M. Van Dijk, M. Deniaud, M. Brugger, N. Charitonidis, P. Simon, R. Murphy, S. Schuh-Erhard, S. Gibson, S. Boogert, T. Zickler, V. Stergiou, W. Shields","Conceptual design of the magnetised iron block system for the SHADOWS experiment",,2156
MOPA072,"S. Kolokolchikov, A. Aksentyev, A. Melnikov, Y. Senichev, V. Ladygin, E. Syresin","ByPass optics design in NICA storage ring for experiment with polarized beams for EDM search",,916
MOPA073,"A. Melnikov, A. Aksentyev, S. Kolokolchikov, Y. Senichev, E. Syresin, V. Ladygin","The effect of spin oscillations in a ring with a quasi-frozen spin and its influence on the procedure for searching for the deuteron EDM",,942
MOPA107,"T. Yoshimoto, N. Iida, M. Kikuchi, Y. Seimiya, D. Zhou","Incoherent and coherent synchrotron radiation effects in the SuperKEKB electron beam transport",,964
MOPA101,"E. Farina, A. Lechner, C. Bracco, M. Calviani, N. Solieri, T.G. Banks, Y. Dutheil","Energy deposition challenges for the HL-LHC beam dump",,783
MOPA111,"J. Zhu, W. Zhang","Development of Nanosecond Pulser for The Southern Advanced Photon Source Injection System",,2125
MOPA004,"E. Traykov, F. Bouly, E. Bouquerel, S. Chancé, U. Dorda, E. Froidefond, L. De Keukeleere, J. van de Walle, L. Perrot","Double achromat solution with a dedicated collimation system for the MEBT-3 section of MYRRHA",,733
MOPA091,"M. Boscolo, A. Abramov, K. André, J. Bauche, M. Benedikt, F. Bosi, G. Broggi, L. Brunetti, P. Burrows, H. Burkhardt, A. Ciarma, M. Dam, C. Järmyr Eriksson, A. Foussat, F. Fransesini, S. Grabon, R. Kersevan, M. Koratzinos, S. Lauciani, A. Lechner, E. Montbarbon, A. Novokhatski, K. Oide, F. Palla, B. Parker, F. Poirier, T. Reubenheimer, J. Salvesen, M. Sullivan, L. Watrelot, M. Wendt, F. Zimmermann","The status of the Interaction region design and machine detector interface of the FCC-ee",,621
MOPA023,"R. Abukeshek, A. Stocchi, A. Bogacz, A. Fomin, B. Jacquot, H. Abualrob, J. Benesch, J. Michaud, L. Perrot","Magnetic design of the commutational magnet and quadrupoles for PERLE accelerator",,2009
MOPA008,"W. Barkley, A. Alexander, B. Haynes, E. Simakov","Status of CARIE facility design and construction",,903
MOPA077,"J.-C. Chang, W.-S. Jan","Numerical analysis on the air conditioning system of the experimental hall at TPS",,533
MOPA123,"P. Hermes, A. Abramov, R. Bruce, D. Calzolari, M. D'Andrea, L.S. Esposito, M. Giovannozzi, C. Hernalsteens, B. Humann, A. Lechner, B. Lindstrom, D. Mirarchi, C.E. Montanari, S. Morales Vigo, J.-B. Potoine, S. Redaelli, V. Rodin, B. Salvachua, M. Soderen, J. Uythoven, D. Valuch, C. Wiesner, D. Wollmann, C. Zamantzas","Collimation quench test at the LHC with a 6.8 TeV proton beam",,1057
MOPA113,"E.-C. Huang, A. Braido, C. Taylor, E. Henestroza, H. Xu, H. Gaus, J. Upadhyay, J. Lyles, J. Bradley III, M. Sanchez Barrueta, R. Thornton, R. van de Water, S. Sosa Guitron, W. hall","Short pulse enhancement at the Proton storage ring via double stacking for the Lujan Center at LANSCE",,2654
MOPA017,"A. Neumann, A. Frahm, A. Ushakov, E. Sharples-Milne, H. Stein, H. Ploetz, J. Ullrich, J. Knobloch, J. Kuehn, J. Kolbe, M. Schuster, S. Klauke, S. Mistry, S. Rotterdam, T. Kamps","Superconducting RF systems for the SEALab facility, status and commissioning",,2118
MOPA122,"F.-l. Shang, W. Song, L. Shang","A novel dual-channel kicker for the Hefei Advanced Light Facility",,656
MOPA084,"M. Fraser, C. Ahdida, G. Arduini, P.A. Arrutia Sota, H. Bartosik, J. Bernhard, M. Calviani, A. Colinet, L.S. Esposito, R. Franqueira Ximenes, B. Goddard, J.-L. Grenard, Y. Kadi, V. Kain, A. Lafuente, I. JOSIFOVIC, K. Li, G. Mazzola, E. Nowak, K. Pal, T. Prebibaj, R. Ramjiawan, I. Romera, F. Roncarolo, P. Schwarz, F. Velotti, C. Vendeuvre, M. Van Dijk, H. Vincke, C. Zamantzas, T. Zickler, M. Brugger, F. Gautheron","Investigating the feasibility of delivering higher intensity proton beams to ECN3 at the CERN SPS North Area",,555
MOPA126,"B. Lindstrom, R. Bruce, P. Hermes, S. Redaelli","Update on the High Luminosity LHC collimation performance with proton beams",,1421
MOPA001,"L. Zhang, J. Tang","Preliminary lattice design for the rapid cycling synchrotron in the SPPC",,1347
MOPA092,"A. Novokhatski, M. Boscolo, F. Fransesini, S. Lauciani, L. Pellegrino","Estimated heat load and proposed cooling system in the FCC-ee Interaction region beam pipe",,756
MOPA069,"X. Liu, J. Cao, Y. Sui, J. Yue, T. Xu, J. Zhao","Design of transverse feedback kickers for the HEPS storage ring",,2602
MOPA009,"B. Dunham, E. Scott, T. Burris-Mog","The Scorpius Linear Induction Accelerator",,1609
MOPA059,"C. Priano, S. Alpegiani, M. Bozza, E. Bressi, L. Falbo, S. Gioia, L. Lanzavecchia, M. Manzini, P. Meliga, R. Monferrato, A. Parravicini, M. Pezzetta, M. Pullia, S. Savazzi, G. Venchi, C. Viviani, F. Zanoli","Installation of a new low energy line (LEBTO3) at CNAO",,1665
MOPA060,"P. Meliga, E. Bressi, G. Debernardi, L. Falbo, C. Priano","Design and commissioning of the RF-KO extraction at CNAO",,1668
MOPA079,"M. LEE, B.H. Choi, Y. Joo, J. KIM, Y.-S. Lee, I.S. Park, S. Park, Y. Sohn","Preliminary design of control system for storage ring RF in Korea 4GSR",,1869
MOPA025,"C. Barbagallo, P. Duchesne, W. Kaabi, G. Olivier, G. Olry, S. Roset, F. Zomer, J. Henry, S. Overstreet, G.-T. Park, R. Rimmer, H. Wang, S. Barriere, S. Clement, R.L. Gerard, F. Gerigk, P. Maurin","First coaxial HOM coupler prototypes and RF measurements on a copper cavity for the PERLE project",,2388
MOPA162,"R. Visintini, F. Barbo, A. Buonanno, M. MIlani, G. Simonetti","Elettra 2.0: Activities in the experimental Hall",,855
MOPA052,"M. Signorelli, G. Hoffstaetter, V. Ptitsyn","Electron polarization preservation in the EIC",,890
MOPA051,"M. Signorelli, D. Sagan, G. Hoffstaetter","Nonlinear coupling resonances in the EIC electron storage ring",,889
MOPA089,"H. Yamaoka, T. Kanayama, M. Masuzawa, M. Maki","Earthquake measurements and those analysis on ir components and Belle II detector in KEK",,1812
MOPA053,"J. Unger, D. Marx, G. Hoffstaetter, M. Signorelli","Interaction region effects on the EIC’s electron storage ring's dynamic aperture",,1808
MOPA135,"q. zhang","Coordinate transformation based on dual quaternion and total least squares adjustment",,1510
MOPA033,"Y. Hao, H. Huang, V. Morozov, Y. Luo, D. Xu","Validation and countermeasures of vertical emittance growth due to crab cavity noise in a horizontal crab-crossing scheme",,1566
MOPA087,"V. Cilento, C. Carli","Study of systematic effects mimicking EDM signal combining measurements from counter-rotating beams",,1176
MOPA106,"S. Boi, D. Stratakis, J. Morgan","Delivery of Low Momentum Muons for Muon EDM Studies at Fermilab",,2529
MOPA005,"G. Jiang, F. Qiu, K. Jin, L. Sun, L. Shi, z. wu","An Optimized Water Cooling Scheme of Solid State Power Source for Accelerator",,2086
MOPA149,"J. Dooling, C. Graziani, A. Grannan, M. Borland, Y. Lee, R. Lindberg, L. Emery, K. Harkay, V. Sajaev, Y. Sun, W. Berg, K. Wootton, J. Stevens, G. Navrotski, A. Lumpkin, J. Calvey, N. Cook, D. Lee, S. Riedel, J. Wang","Testing of a fan-out kicker to protect collimators from low-emittance whole-beam aborts in the Advanced Photon Source storage ring",,2616
MOPA041,"D. Xu, W. Bergan, S. Peggs, E. Wang, J. Berg, D. Holmes, C. Liu, H. Lovelace III, G. Robert-Demolaize, B. Gamage","Beam optics update for EIC HSR-IR2",,759
MOPA076,"A. Zelinsky, A. Cherkashin, P. Gladkikh","Modernization of the laser-optical system of the X-ray generator NESTOR",,785
MOPA151,"G. Wang, A. Caracappa, B. Kosciuk, D. Padrazo Jr, F. DePaola, F. Lincoln, J. Choi, L. Doom, R. Gambella, R. Todd, S. Sharma, T. Shaftan, V. Smaluk, X. Yang, Y. Hu, Y. Hidaka","Complex bend prototype beamline design and commissioning",,681
MOPA035,"V. Ranjbar, B. Lepore, H. Lovelace III, M. Blaskiewicz, W. Xu, F. Meot, F. Lin, T. Satogata","Progress on the electron ion collider’s RCS RF ramp development",,1278
MOPA018,"S. Samsam, A. Bacci, A. Passarelli, A. Rossi, D. Sertore, D. Giove, I. Drebot, L. Serafini, M. Ruijter, M. Rossetti Conti, M.R. Masullo, R. Paparella, V. Petrillo","High order mode analysis in energy recovery linac based on an energy budget model",,1046
MOPA120,"E. Prebys, R. Kibbee, V. Nagaslaev","GUI control system for the Mu2e electrostatic septum high voltage at Fermilab",,1212
MOPA186,"N. Li, Y. Jiao, S. Tian","Sorting of sextupole and octupole magnets in the HEPS storage ring",,1104
MOPA040,"D. Xu, Y. Luo, J. Avronsart, J. Berg, M. Blaskiewicz, H. Lovelace III, C. Montag, S. Tepikian, F. Willeke, H. Witte, B. Gamage, V. Morozov","Closing crab dispersion by dispersive RF cavity in Electron-Ion Collider Hadron Storage Ring",,760
MOPA049,"C. Montag, E. Aschenauer, P. Baxevanis, S. Benson, J. Berg, M. Blaskiewicz, A. Blednykh, E. Daly, K. Deitrick, K. Drees, A. Fedotov, C. Folz, B. Gamage, D. Gassner, E. Gianfelice-Wendt, C. Hetzel, G. Hoffstaetter, D. Holmes, H. Huang, J. Jamilkowski, J. Kewisch, F. Lin, C. Liu, H. Lovelace III, G. Mahler, D. Marx, F. Meot, E. Nissen, B. Parker, B. Podobedov, G. Robert-Demolaize, D. Sagan, M. Sangroula, A. Seryi, M. Signorelli, K. Smith, G. Stupakov, M. Sullivan, P. Thieberger, N. Tsoupas, J. Tuozzolo, J. Unger, E. Wang, D. Weiss, F. Willeke, Q. Wu, H. Witte, M. Wiseman, D. Xu, A. Zaltsman, M. Minty, R. Gupta, R. Rimmer, R. Than, S. Seletskiy, S. Verdu-Andres, S. Peggs, S. Tepikian, S. Nayak, T. Michalski, T. Satogata, V. Morozov, W. Bergan, V. Ptitsyn, V. Ranjbar, W. Fischer, Y. Hao, X. Gu, W. Wittmer, Y. Li, Y. Luo, Y. Cai, Z. Conway, Y. Nosochkov, W. Xu","Design status of the Electron-Ion Collider",,750
MOPA065,"A. Elliott, K. Taylor, M. Horanyi, X. Wang, C. Wiesner, D. Wollmann, P. Belanger, R. Schmidt","Electrostatic dust lofting: a possible cause for beam losses at CERN’s LHC",,2396
MOPA103,"V. Bencini, S. Doebert, E. Granados, E. Gschwendtner, F. Velotti, L. Verra, G. Zevi Della Porta","Beam characterization and optimisation for AWAKE 18 MeV electron line",,2219
MOPA063,"M. Katoh, K. Hayashi, H. Ota, E. Salehi, Y. Taira, J.-i. Yamazaki, M. Fujimoto, M. Hosaka, A. Mano, Y. Takashima, F. Sakamoto, T. Kaneyasu, H. Zen","Light source developments at UVSOR BL1U",,1400
MOPA011,"L. Perrot, F. Bouly, E. Bouquerel, S. Chancé, L. De Keukeleere, U. Dorda, E. Froidefond, E. Traykov, J. van de Walle","Detailed design studies of the high energy beam transport line of the Minerva Project at SCK CEN",,705
MOPA080,"S. Petracca, I. Pinto","Particle accelerators to meet gravitational waves",,2013
MOPA129,"G. Broggi, A. Abramov, R. Bruce","Beam dynamics studies for the FCC-ee collimation system design",,2136
MOPA136,"Y. Zhang, B. Jiang, D. Xiang, Z. Bai","A high-current low-energy storage ring for photon-hungry applications",,2232
MOPA132,"M. Formela, G. Loisch, G. Boyle, G. Moortgat-Pick, J. Osterhoff, M. Thévenet, N. Hamann, S. Mewes","Status of hydrodynamic simulations of a tapered plasma lens for optical matching at the ILC e+ source",,2405
MOPA097,"E. Waagaard, F. Velotti, J. Borburgh, L. Ducimetière, M. Barnes, P. Trubacova, T. Kramer, T. Stadlbauer, V. Bencini, W. Bartmann","Design of a new CERN SPS injection system via numerical optimisation",,2323
